West Alaska,,0,7,2,1,0,60,1,16,8,0,95
Arizona,,8,163,29,94,1,399,20,147,52,3,916
California,,5,"2,384",278,511,9,"1,489",274,788,406,85,"6,229"
Colorado,,1,93,34,43,1,517,9,95,47,5,845
Hawaii,,1,137,2,1,10,24,3,78,8,1,265
Idaho,,0,10,3,2,0,160,0,16,8,2,201
Montana,,3,0,1,1,0,104,0,10,7,0,126
Nevada,,1,101,13,29,0,124,12,48,12,1,341
New Mexico,,6,33,6,65,0,77,3,61,10,4,265
Oregon,,5,105,6,11,3,333,14,66,27,2,572
Utah,,1,44,5,14,1,472,8,60,19,8,632
Washington,,3,278,37,31,3,559,17,134,66,7,"1,135"
Wyoming,,0,4,0,1,0,55,0,9,1,0,70
Total for the Region,,34,"3,359",416,804,28,"4,373",361,"1,528",671,118,"11,692"
U.S. Territories and Possessions,,0,0,4,0,5,1,0,6,0,1,17
Legal Residence is Not in the U.S.,,0,35,9,2,0,24,7,2,10,"1,231","1,320"
Legal Residence is Unknown,,0,2,1,2,0,6,0,2,3,65,81
Total Applicants,,89,"11,027","4,419","3,350",42,"23,469","1,198","5,246","2,641","1,890","53,371"
